t,h_20,h_40,h_60,h_80,h_160
0,346,347,344,345,363
1,328,333,334,338,358
2,308,323,328,334,356
3,283,313,323,331,355
4,268,302,318,328,355
5,253,291,313,325,355
6,233,280,308,322,354
7,203,271,304,320,354
8,188,259,299,317,352
9,168,251,294,314,351
10,153,238,289,311,350
11,128,229,284,308,348
12,108,217,280,306,348
13,93,208,275,303,347
14,78,198,271,301,346
15,58,187,266,298,345
16,48,176,261,295,345
17,45,168,256,292,344
18,43,158,251,289,343
19,41,150,246,286,342
20,40,142,242,284,341
21,38,135,237,281,340
22,37,127,232,278,339
23,35,122,227,275,338
24,33,118,222,272,
25,32,113,218,270,
26,30,111,213,267,
27,28,108,209,265,
28,28,106,204,262,
29,27,102,200,260,
30,26,100,195,257,
31,26,98,192,254,
32,25,96,190,252,
33,25,94,187,249,
34,25,92,184,246,
35,,90,182,243,
36,,87,179,241,
37,,85,178,238,
38,,83,175,236,
39,,81,173,233,
40,,80,171,231,
41,,78,168,229,
42,,76,165,226,
43,,75,163,223,
44,,73,160,221,
45,,71,158,218,
46,,69,156,216,
47,,68,154,214,
48,,66,152,212,
49,,65,149,210,
50,,63,147,207,
51,,62,144,205,
52,,60,142,202,
53,,58,141,200,
54,,57,,198,
55,,56,,196,
56,,55,,194,
57,,54,,192,
58,,52,,189,
59,,51,,187,
60,,50,,185,
61,,49,,183,
62,,48,,181,
63,,47,,179,
64,,46,,177,
65,,45,,175,
66,,44,,174,
67,,43,,173,
68,,43,,171,
69,,43,,169,
70,,42,,167,
71,,,,166,
72,,,,165,
73,,,,164,
74,,,,163,
75,,,,162,